,comment,stars
172,"['daughter', 'loved', 'computer', 'week', 'able', 'communicate', 'friend', 'play', 'roblox', 'video', 'call', 'etc', 'without', 'problem', 'today', 'today', 'would', 'not', 'turn', 'suddenly', 'no', 'mishap', 'power', 'would', 'not', 'come', 'acer', 'support', 'page', 'pretty', 'useless', 'least', 'able', 'find', 'tip', 'online', 'push', 'paperclip', 'carefully', 'battery', 'hole', 'second', 'worked', 'pushing', 'second', 'not']",2
175,"['red', 'look', 'orange', 'screen', 'noticed', 'creating', 'web', 'page', 'july', 'th', 'tried', 'capture', 'see', 'samsung', 'desktop', 'screen', 'pic', 'see', 'acer', 'aspire', 'slim', 'laptop', 'screen', 'pic', 'web', 'page', 'red', 'color', 'hex', 'ff', 'took', 'picture', 'using', 'moto', 'camera', 'besides', 'color', 'inaccuracy', 'biggest', 'disappointment', 'computer', 'no', 'indicator', 'cap', 'lock', 'num', 'lock', 'hard', 'drive', 'activity', 'led', 'cheap', 'nowadays', 'acer', 'could', 'included', 'price', 'point']",2
187,"['underpowered', 'sticky', 'key', 'unpredictable', 'touch', 'pad', 'touch', 'screen', 'know', 'asked', 'rate', 'buy', 'gaming', 'already', 'knew', 'good', 'anyway', 'ended', 'using', 'checking', 'email', 'basic', 'word', 'processing', 'web', 'browsing', 'month', 'imaging', 'twice', 'gave', 'bought', 'hp', 'touch', 'screen', 'instead', 'much', 'vivid', 'display', 'better', 'processor', 'decided', 'buy', 'better', 'alternative', 'someone', 'offered', 'buy', 'nd', 'grader', 'could', 'remote', 'school', 'thing', 'corona', 'virus', 'pandemic', 'clear', 'conscience', 'want', 'kid', 'parent', 'mess', 'unreliability', 'advised', 'get', 'chromebook', 'instead', 'acer', 'essentially', 'brick', 'holding', 'paper', 'credenza', 'point', 'price', 'point', 'not', 'surprised', 'justified', 'feeling', 'disappointed', 'imo']",2
207,"['six', 'month', 'update', 'grading', 'two', 'star', 'flaky', 'touch', 'pad', 'analog', 'jack', 'headphone', 'speaker', 'work', 'checking', 'acer', 'community', 'found', 'common', 'issue', 'installed', 'new', 'driver', 'one', 'worked', 'one', 'failed', 'install', 'failed', 'audio', 'jack', 'flaky', 'touch', 'pad', 'look', 'elsewhere', 'inexpensive', 'laptop', 'even', 'though', 'price', 'good', 'support', 'not', 'tough', 'get', 'gave', 'suspecting', 'want', 'send', 'back', 'take', 'multiple', 'week', 'return', 'might', 'not', 'fixed']",2
269,"['tried', 'perform', 'differently', 'appeared', 'different', 'hardware', 'supplier', 'internal', 'part', 'made', 'random', 'manufacturer', 'example', 'port', 'pcie', 'speed', 'advertised', 'internal', 'sata', 'port', 'performs', 'mb', 'write', 'mb', 'read', 'drive', 'rated', 'mb', 'write', 'mb', 'read', 'look', 'put', 'together', 'hurry', 'debris', 'around', 'plastic', 'body', 'easily', 'cut', 'hand', 'skin', 'etc']",2
293,"['acer', 'fine', 'laptop', 'long', 'not', 'need', 'use', 'speaker', 'extreme', 'low', 'volume', 'use', 'wifi', 'sharing', 'shared', 'wifi', 'connection', 'consistently', 'suffers', 'interruption', 'ethernet', 'viable', 'option', 'sharing', 'internet', 'connection', 'acer', 'not', 'mention', 'paid', 'day', 'shipping', 'received', 'acer', 'laptop', 'day', 'later', 'amazon', 'lack', 'order', 'fulfillment', 'obligation']",2
303,"['liked', 'weight', 'size', 'speed', 'look', 'however', 'unit', 'would', 'not', 'resume', 'wake', 'lid', 'opening', 'sleep', 'button', 'pressed', 'power', 'button', 'pushed', 'keyboard', 'would', 'not', 'respond', 'period', 'second', 'unit', 'would', 'restart', 'open', 'apps', 'would', 'closed', 'annoying', 'tried', 'suggested', 'remedy', 'power', 'option', 'change', 'bios', 'update', 'even', 'installed', 'window', 'upgraded', 'pro', 'version', 'no', 'success', 'fix', 'resume', 'wake', 'issue', 'would', 'not', 'recommend', 'unit', 'fails', 'simple', 'basic', 'requirement', 'serious', 'flaw', 'may', 'lie', 'ahead', 'returned', 'unit', 'refund', 'usually', 'not', 'negative', 'unit', 'wasted', 'much', 'time']",2
307,"['really', 'wanted', 'love', 'week', 'issue', 'freezing', 'typing', 'missing', 'letter', 'type', 'paper', 'almost', 'like', 'running', 'slow', 'use', 'online', 'word', 'online', 'school', 'get', 'free', 'still', 'super', 'frustrating', 'previous', 'computer', 'not', 'type', 'slow', 'could', 'using', 'word', 'online', 'not', 'laptop', 'version', 'possibly', 'super', 'frustrating', 'occurring', 'lag', 'homework', 'use', 'love', 'color', 'screen', 'size', 'everything', 'else', 'thing', 'hate', 'touch', 'like', 'old', 'one', 'get', 'use']",2
311,"['overall', 'great', 'laptop', 'price', 'added', 'ram', 'really', 'easily', 'fast', 'cheap', 'however', 'technical', 'issue', 'mode', 'horrible', 'got', 'rid', 'immediately']",2
345,"['bought', 'son', 'high', 'school', 'christmas', 'present', 'last', 'year', 'well', 'put', 'thumb', 'edge', 'keyboard', 'closing', 'lid', 'mistake', 'screen', 'look', 'dropped', 'nd', 'floor', 'crack', 'line', 'everywhere', 'thus', 'useless', 'called', 'acer', 'technical', 'support', 'hoping', 'would', 'covered', 'warranty', 'nope', 'said', 'since', 'not', 'defect', 'warranty', 'likely', 'covered', 'still', 'send', 'pay', 'repair', 'plus', 'diagnostic', 'fee', 'no', 'thanks', 'probably', 'get', 'brand', 'new', 'one', 'word', 'acer', 'flimsy', 'flimsy', 'flimsy']",2
351,"['bought', 'laptop', 'le', 'year', 'ago', 'touchpad', 'stop', 'working', 'first', 'day', 'use', 'two', 'three', 'week', 'later', 'came', 'back', 'worked', 'hour', 'tried', 'everything', 'recomended', 'fix', 'problem', 'nothing', 'worked']",2
356,"['pro', 'price', 'backlit', 'keyboard', 'lightweight', 'ok', 'battery', 'life', 'fast', 'con', 'vega', 'steal', 'gig', 'ram', 'bat', 'big', 'problem', 'would', 'want', 'buy', 'laptop', 'upgrade', 'immediately', 'bought', 'another', 'gig', 'performs', 'better', 'cpu', 'fairly', 'powerful', 'gpu', 'better', 'intel', 'gaming', 'not', 'recommended', 'viewing', 'angle', 'good']",2
380,"['give', 'star', 'product', 'not', 'defective', 'big', 'bummer', 'laptop', 'defective', 'trying', 'upgrade', 'laptop', 'many', 'purpose', 'upgraded', 'ram', 'screen', 'turn', 'thought', 'ram', 'not', 'working', 'purchased', 'wrong', 'model', 'experimenting', 'trying', 'hard', 'figure', 'called', 'acer', 'support', 'agent', 'said', 'max', 'put', 'gb', 'laptop', 'handle', 'not', 'true', 'agent', 'also', 'said', 'cannot', 'add', 'gb', 'ssd', 'not', 'true', 'ended', 'bringing', 'best', 'buy', 'quick', 'consultation', 'took', 'look', 'found', 'ram', 'working', 'one', 'ram', 'slot', 'slot', 'one', 'defective', 'sort', 'dirt', 'something', 'dissapointed', 'cuz', 'quite', 'excited', 'always', 'thought', 'acer', 'laptop', 'quite', 'nice', 'laptop', 'nice', 'cannot', 'deny', 'nicely', 'made', 'enjoy', 'using', 'get', 'nice', 'one']",2
445,"['fired', 'thing', 'one', 'evening', 'delighted', 'well', 'ran', 'use', 'internet', 'bought', 'lenovo', 'laptop', 'recently', 'better', 'spec', 'disappointed', 'internet', 'performance', 'digress', 'transported', 'work', 'next', 'morning', 'took', 'touchpad', 'appeared', 'popping', 'little', 'big', 'see', 'pic', 'easily', 'popped', 'back', 'notice', 'control', 'problem', 'literally', 'first', 'hour', 'fault', 'performance', 'maybe', 'one', 'slipped', 'quality', 'control', 'not', 'taking', 'chance', 'back', 'go']",2
449,"['first', 'laptop', 'brand', 'acer', 'disappointed', 'operating', 'speed', 'owned', 'tablet', 'chrome', 'book', 'never', 'problem', 'laptop', 'use', 'acer', 'laptop', 'streaming', 'video', 'youtube', 'netflix', 'time', 'take', 'simple', 'video', 'load', 'blow', 'mind', 'lag', 'typing', 'simple', 'comment', 'not', 'fast', 'typing', 'sooo', 'slow', 'need', 'stream', 'video', 'online', 'shopping', 'save', 'money', 'buy', 'something', 'else']",2
465,"['waited', 'long', 'time', 'buy', 'new', 'computer', 'finally', 'purchased', 'laptop', 'le', 'month', 'later', 'touchpad', 'already', 'stopped', 'working', 'talked', 'acer', 'customer', 'service', 'done', 'troubleshooting', 'even', 'factory', 'reset', 'still', 'work', 'never', 'able', 'get', 'touchscreen', 'tablet', 'mode', 'work', 'look', 'much', 'either', 'difficult', 'set', 'worked', 'beginning', 'acer', 'customer', 'service', 'want', 'send', 'fix', 'without', 'computer', 'week', 'crappy', 'position']",2
469,"['pc', 'month', 'seems', 'cooling', 'issue', 'even', 'web', 'browsing', 'cause', 'fan', 'run', 'task', 'manager', 'show', 'peak', 'percent', 'cpu', 'usage', 'briefly', 'opening', 'web', 'site', 'like', 'cnn', 'fox', 'news', 'fan', 'go', 'overdrive', 'used', 'end', 'couch', 'thought', 'blocking', 'bottom', 'vent', 'using', 'cutting', 'board', 'bottom', 'foot', 'make', 'gap', 'increase', 'air', 'flow', 'not', 'helped', 'cpu', 'get', 'celsius', 'time', 'web', 'browsing', 'pc', 'get', 'good', 'review', 'maybe', 'got', 'bad', 'one', 'barely', 'cooling', 'duct', 'slim', 'design', 'install', 'gig', 'ddr', 'ram', 'well', 'not', 'problem', 'opted', 'mode', 'regular', 'window', 'aswell']",2
481,"['computer', 'fast', 'computer', 'week', 'locked', 'mousepad', 'quit', 'working', 'couldnt', 'use', 'installed', 'husband', 'mouse', 'started', 'working', 'correctly', 'computer', 'seemed', 'get', 'hot', 'fast', 'returning', 'unit', 'hopefully', 'one', 'time', 'failure', 'ordering', 'another', 'unit']",2
493,"['received', 'two', 'star', 'fast', 'shipping', 'ordered', 'laptop', 'work', 'computer', 'shipping', 'pretty', 'fast', 'delivered', 'amazon', 'box', 'fine', 'acer', 'box', 'laptop', 'came', 'damaged', 'thought', 'no', 'big', 'deal', 'long', 'laptop', 'fine', 'well', 'top', 'right', 'side', 'laptop', 'dent', 'unfortunately', 'even', 'turned', 'shipping', 'back', 'hopefully', 'receive', 'replacement', 'soon', 'update', 'review', 'receive', 'replacement']",2
517,"['laptop', 'suck', 'waste', 'time', 'slow', 'sometimes', 'try', 'something', 'never', 'get', 'laptop', 'process', 'website', 'never', 'fully', 'load', 'literally', 'see', 'half', 'webpage', 'first', 'slow', 'thought', 'well', 'get', 'pay', 'like', 'dial', 'slow', 'tried', 'open', 'google', 'chrome', 'no', 'exaggeration', 'took', 'minute', 'open', 'tried', 'check', 'email', 'crashed', 'use', 'laptop', 'game', 'social', 'medium', 'streaming', 'nothing', 'like', 'wanted', 'basic', 'school', 'work', 'stuff', 'webcamera', 'trash', 'expected', 'tried', 'make', 'video', 'call', 'test', 'garbage', 'click', 'something', 'nothing', 'happens', 'no', 'loading', 'symbol', 'nothing', 'click', 'wait', 'minute', 'two', 'click', 'repeat', 'nothing', 'minute', 'last', 'click', 'page', 'opening', 'time', 'laptop', 'crash', 'still', 'trying', 'check', 'email', 'wish', 'would', 'returned', 'chance', 'also', 'review', 'asked', 'rate', 'touch', 'screen', 'supposed', 'touch', 'screen', 'not', 'speaker', 'might', 'well', 'not', 'even', 'sifted', 'ton', 'review', 'many', 'laptop', 'anyone', 'tip', 'make', 'thing', 'user', 'friendly', 'please', 'help', 'may', 'not', 'lot', 'laptop', 'much', 'throw', 'away']",2
518,"['guess', 'get', 'expecting', 'computer', 'decent', 'mousepad', 'literally', 'quit', 'working', 'searched', 'acer', 'site', 'various', 'site', 'reinstalled', 'trackpad', 'driver', 'nothing', 'buy', 'mouse', 'plug', 'use', 'not', 'good', 'use', 'fly', 'travel', 'also', 'get', 'access', 'change', 'remove', 'battery', 'basically', 'disposable', 'computer', 'start', 'quickly', 'serf', 'general', 'purpose']",2
540,"['two', 'month', 'use', 'bottom', 'third', 'screen', 'gray', 'vertical', 'line', 'unable', 'see', 'portion', 'area', 'attempting', 'get', 'fixed', 'warranty', 'online', 'chat', 'acer', 'state', 'seems', 'dropped', 'not', 'covered', 'warranty', 'pay', 'shipping', 'way', 'investigate', 'issue', 'not', 'covered', 'cost', 'repair', 'unit', 'never', 'dropped', 'used', 'one', 'adult', 'see', 'say', 'ten', 'day', 'not', 'covered', 'not', 'authorize', 'repair', 'hopefully', 'update', 'state', 'support', 'product', 'time', 'tell']",2
569,"['stuck', 'mode', 'window', 'access', 'microsoft', 'account', 'locked']",2
611,"['pro', 'price', 'build', 'quality', 'feel', 'solid', 'open', 'close', 'pretty', 'smooth', 'con', 'screen', 'brightness', 'low', 'even', 'set', 'best', 'performance', 'plugged']",2
626,"['purchased', 'laptop', 'december', 'constantly', 'freeze', 'typically', 'utilize', 'surfing', 'web', 'ocasionally', 'checking', 'email', 'month', 'use', 'noticed', 'would', 'freeze', 'ignored', 'since', 'not', 'use', 'often', 'working', 'home', 'basically', 'thing', 'except', 'utilizing', 'm', 'excel', 'm', 'word', 'often', 'noticed', 'would', 'freeze', 'minute', 'hour', 'use', 'must', 'restart', 'via', 'power', 'button', 'no', 'function', 'work', 'upgraded', 'ram', 'gig', 'thinking', 'would', 'improve', 'not', 'still', 'significant', 'amount', 'hd', 'space', 'available', 'gig', 'no', 'unknown', 'source', 'apps', 'installed', 'worst', 'laptop', 'ever', 'frustrating', 'constantly', 'stop', 'start', 'work', 'enjoy', 'constant', 'interruption', 'working', 'laptop', 'not', 'purchase', 'another', 'brand', 'not', 'recommend', 'product']",2
633,"['laptop', 'month', 'decent', 'laptop', 'want', 'use', 'microsoft', 'edge', 'internet', 'browser', 'want', 'use', 'google', 'chrome', 'forget', 'software', 'computer', 'block', 'chrome', 'downloaded', 'onto', 'laptop', 'two', 'disappointed', 'kid']",2
638,"['initially', 'thought', 'computer', 'would', 'work', 'okay', 'camera', 'picture', 'quality', 'not', 'greatest', 'month', 'laptop', 'mouse', 'touchpad', 'stopped', 'working', 'contacted', 'acer', 'support', 'time', 'le', 'hour', 'temporarily', 'fixed', 'hour', 'stopped', 'working', 'said', 'would', 'need', 'mail', 'laptop', 'cost', 'even', 'though', 'warranty', 'would', 'back', 'day', 'feel', 'safe', 'mailing', 'computer', 'personal', 'info', 'someone', 'almost', 'week', 'guess', 'keep', 'non', 'working', 'mouse', 'touchpad', 'buyer', 'beware', 'get', 'pay']",2
658,"['screen', 'quality', 'horrible', 'dim', 'even', 'highest', 'setting', 'plugged', 'highest', 'perfomance', 'setting', 'vine', 'super', 'low', 'sure', 'supposed', 'touchscreen']",2
659,"['two', 'way', 'know', 'get', 'around', 'window', 'download', 'software', 'outside', 'provider', 'neither', 'worked', 'machine', 'bought', 'computer', 'use', 'specific', 'software', 'neither', 'manufacture', 'help', 'number', 'software', 'company', 'help', 'number', 'able', 'help', 'sent', 'back']",2
672,"['laptop', 'lot', 'like', 'display', 'excellent', 'made', 'sturdy', 'keyboard', 'not', 'big', 'fan', 'backlit', 'one', 'type', 'quietly', 'feel', 'good', 'also', 'give', 'option', 'expand', 'ram', 'hdd', 'fact', 'almost', 'liked', 'overheating', 'issue', 'really', 'turndown', 'opening', 'chrome', 'tab', 'writing', 'review', 'thing', 'heat', 'like', 'crazy', 'fan', 'already', 'kicked', 'make', 'loud', 'noise', 'never', 'seen', 'laptop', 'ssd', 'heating', 'like', 'decide', 'soon', 'need', 'return', 'not']",2
691,"['laptop', 'three', 'week', 'touch', 'pad', 'stopped', 'working', 'twice', 'people', 'acer', 'helpful', 'first', 'time', 'knew', 'exactly', 'key', 'keyboard', 'tap', 'many', 'time', 'tap', 'get', 'work', 'second', 'time', 'fix', 'like', 'waiting', 'phone', 'pc', 'fixed', 'decided', 'send', 'back', 'still', 'possible', 'buying', 'amazon', 'really', 'help', 'touchpad', 'sent', 'back', 'thing', 'really', 'like', 'product', 'working', 'sound', 'volume', 'way', 'low', 'though', 'headphone', 'might', 'fixed', 'easily', 'no', 'light', 'cap', 'lock', 'key', 'let', 'know', 'capitalizing', 'every', 'letter', 'often', 'problem', 'touch', 'pad', 'never', 'stopped', 'working', 'still', 'glad', 'though', 'bought', 'refurbished', 'hp', 'office', 'deport', 'knock', 'paid', 'fee', 'get', 'two', 'year', 'warranty', 'make', 'good']",2
699,"['purchased', 'laptop', 'le', 'year', 'ago', 'completely', 'regret', 'not', 'buying', 'better', 'quality', 'laptop', 'laptop', 'freak', 'least', 'every', 'day', 'trying', 'load', 'youtube', 'video', 'even', 'webpage', 'turning', 'page', 'black', 'second', 'constantly', 'connect', 'wifi', 'every', 'device', 'household', 'perfectly', 'fine', 'frustrating', 'use', 'known', 'would', 'spent', 'money', 'better', 'quality', 'laptop', 'please', 'waste', 'money', 'issue', 'gotten', 'worse', 'since', 'first', 'turned', 'see', 'laptop', 'lasting', 'longer', 'year', 'unusable', 'making', 'big', 'waste', 'money']",2
700,"['back', 'loosing', 'month', 'use', 'screen', 'started', 'jump', 'time', 'time', 'liked', 'laptop', 'much', 'bought', 'another', 'one', 'came', 'two', 'day', 'ago', 'considering', 'returning', 'new', 'one', 'since', 'get', 'return', 'one', 'country', 'disappointed', 'say', 'least']",2
725,"['keep', 'losing', 'connection', 'internet', 'tried', 'various', 'fix', 'work', 'connect', 'device', 'house', 'no', 'problem', 'connecting', 'internet', 'not', 'wifi', 'month', 'got', 'daughter', 'online', 'college', 'class', 'without', 'internet', 'useless', 'audio', 'went', 'today', 'really', 'unhappy', 'several', 'laptop', 'none', 'gave', 'problem', 'like', 'one', 'spent', 'lot', 'time', 'researching', 'thought', 'found', 'good', 'laptop', 'stuck', 'time', 'class', 'started', 'really', 'started', 'using', 'return', 'window', 'warranty', 'apparently', 'good', 'get', 'one', 'hope', 'better']",2
738,"['wont', 'accept', 'letter', 'sign', 'number', 'go', 'trough', 'cumbersome', 'process', 'enter', 'password', 'requires', 'verification', 'phone', 'spouse', 'different', 'phone', 'sign']",2
755,"['purchased', 'exactly', 'laptop', 'kid', 'online', 'home', 'work', 'issue', 'mouse', 'disappeared', 'never', 'found', 'shipping', 'refund', 'fast', 'without', 'problem', 'thank']",2
763,"['bought', 'nov', 'aug', 'laptop', 'work', 'not', 'even', 'year', 'passed', 'laptop', 'charge', 'anymore', 'also', 'earlier', 'year', 'battery', 'acting', 'well', 'cost', 'repair', 'close', 'price', 'bought', 'used', 'entertainment', 'little', 'bit', 'gaming']",2
780,"['displeased', 'black', 'look', 'like', 'green', 'dotted', 'line', 'running', 'middle', 'screen', 'look', 'like', 'kind', 'defect', 'laptop', 'purchased', 'start', 'september', 'didnt', 'see', 'usage', 'th', 'september', 'mean', 'two', 'month', 'situation', 'happened', 'satisfied', 'purchase', 'occurrence']",2
782,"['laptop', 'couple', 'day', 'screen', 'started', 'cutting', 'going', 'black', 'no', 'reason', 'sent', 'laptop', 'back', 'acer', 'week', 'ago', 'not', 'heard', 'back', 'yet', 'bad', 'seemed', 'like', 'really', 'great', 'laptop', 'price', 'time', 'trouble', 'not', 'worth', 'however', 'hesitate', 'buy', 'acer', 'future']",2
