,review,prediction
748,"['love', 'thing', 'bit', 'finicky', 'metal', 'plate', 'inside', 'case', 'car', 'vent', 'clip', 'show', 'charging', 'minute', 'later', 'start', 'blinking', 'not', 'making', 'connection', 'keep', 'lifting', 'phone', 'pad', 'wait', 'see', 'set', 'right']",3
772,"['really', 'like', 'bar', 'like', 'easy', 'program', 'change', 'remote', 'sleek', 'small', 'bar', 'lot', 'great', 'sound', 'bit', 'hard', 'hearing', 'dialog', 'great', 'buy', 'play', 'music', 'well', 'sound', 'like', 'concert', 'living', 'room', 'looking', 'small', 'sleek', 'nice', 'sounding', 'bar', 'not', 'expensive', 'want', 'lot', 'extra', 'speaker', 'fit', 'check', 'box']",3
801,"['like', 'case', 'small', 'enough', 'carry', 'constantly', 'charge', 'bluetooth', 'first', 'true', 'wireless', 'love']",3
814,"['product', 'used', 'alexa', 'many', 'thing', 'ability', 'see', 'security', 'camera', 'drop', 'friend', 'family', 'view', 'nulu', 'youtube', 'many', 'video', 'option', 'numerous', 'mention', 'happy', 'product', 'one', 'home', 'one', 'rv', 'traveling', 'amazing', 'no', 'regret', 'negative', 'two', 'month']",3
826,"['work', 'described']",3
831,"['surprised', 'quality', 'tripod', 'certainly', 'not', 'professional', 'excellent', 'value', 'looking', 'decent', 'reliable', 'tripod', 'quick', 'release', 'feature', 'excellent', 'quite', 'timesaver', 'aluminum', 'tripod', 'plus', 'year', 'finally', 'ceased', 'lock', 'axis', 'one', 'much', 'lighter', 'versatile', 'cost', 'le', 'year', 'old', 'one']",3
861,"['bought', 'sun', 'well', 'impressed']",3
867,"['kid', 'online', 'class', 'due', 'current', 'issue', 'got', 'headphone', 'use', 'chromebooks', 'class', 'attend', 'class', 'time', 'without', 'distracting', 'one', 'another', 'even', 'though', 'sitting', 'room', 'physically', 'helpful']",3
969,"['hold', 'tv']",3
997,"['work', 'great', 'quick', 'simple', 'work', 'situation']",3
1030,"['gran', 'cantidad', 'de', 'luz', 'se', 'puede', 'variar', 'la', 'intensidad', 'un', 'aro', 'muy', 'grande', 'que', 'comprando', 'otro', 'soporte', 'entra', 'dentro', 'una', 'tablet', 'de']",3
1064,"['installation', 'quick', 'easy', 'tp', 'link', 'app', 'easy', 'set', 'adding', 'google', 'home', 'app', 'work', 'perfectly', 'would', 'buy']",3
1084,"['good', 'speaker', 'good', 'sound', 'battery', 'last', 'long', 'advertised', 'lucky', 'get', 'hour']",3
1153,"['could', 'kick', 'not', 'buying', 'sooner', 'replacing', 'roku', 'firesticks', 'navigation', 'streaming', 'blow', 'playstation', 'p', 'p', 'roku', 'away', 'use', 'alexa', 'voice', 'control', 'much', 'would', 'could', 'remember', 'exists', 'fingertip', 'worked', 'flawlessly', 'time', 'especially', 'useful', 'year', 'old', 'not', 'mastered', 'art', 'spelling', 'stem', 'house', 'hdmi', 'plug', 'great', 'design', 'long', 'make', 'lot', 'easier', 'plug', 'back', 'mounted', 'tv', 'little', 'space', 'behind', 'tv', 'hand', 'no', 'complaint', 'whatsoever']",3
1155,"['wireless', 'headphone', 'way', 'go', 'good', 'quality', 'sound', 'amazing', 'battery', 'life', 'solid', 'take', 'awhile', 'charge', 'careful', 'though', 'used', 'mine', 'frequently', 'roughly', 'lasted', 'year', 'take', 'care']",3
1215,"['know', 'cheap', 'knock', 'offs', 'one', 'really', 'nice', 'sturdy', 'feeling', 'last', 'much', 'longer', 'apple', 'original', 'always', 'seem', 'fray', 'plug', 'end', 'impressed']",3
1273,"['incredibly', 'easy', 'install', 'hang', 'vizio', 'took', 'u', 'minute', 'part', 'direction', 'present', 'satisfied']",3
1298,"['love', 'echo', 'auto', 'probably', 'month', 'use', 'conjunction', 'unlimited', 'data', 'verizon', 'plan', 'used', 'expansively', 'traveling', 'asheville', 'nc', 'listen', 'npr', 'much', 'wife', 'chagrin', 'oldie', 'great', 'always', 'available', 'answer', 'question', 'provide', 'direction', 'make', 'call', 'play', 'music', 'well', 'read', 'book', 'great']",3
1320,"['bought', 'interface', 'arlo', 'pro', 'system', 'surprised', 'ease', 'setup', 'video', 'quality', 'also', 'surprised', 'quality', 'volume', 'audio', 'year', 'old', 'grandson', 'love', 'lol', 'playing']",3
1353,"['hp', 'printer', 'paper', 'always', 'excellent', 'price', 'sometimes', 'high']",3
1389,"['ordered', 'camera', 'not', 'get', 'use', 'recently', 'due', 'move', 'camera', 'great', 'bunch', 'fantastic', 'feature', 'mount', 'camera', 'not', 'hold', 'position', 'kinda', 'flop', 'around', 'way', 'use', 'camera', 'shim', 'proper', 'angle', 'missed', 'return', 'window', 'would', 'exchanged', 'liked', 'actual', 'camera', 'enough', 'purchase', 'pan', 'cam', 'much', 'happier']",3
1453,"['read', 'lot', 'review', 'making', 'purchase', 'little', 'worried', 'gotten', 'device', 'promised', 'hand', 'free', 'talking', 'car', 'garbage', 'no', 'one', 'could', 'hear', 'road', 'noise', 'no', 'matter', 'placed', 'made', 'sense', 'use', 'phone', 'speaker', 'ideal', 'good', 'made', 'sure', 'set', 'alexa', 'hurry', 'case', 'issue', 'really', 'one', 'auxiliary', 'cord', 'short', 'based', 'car', 'designed', 'easy', 'fix', 'not', 'worth', 'taking', 'star', 'turn', 'volume', 'phone', 'hear', 'sound', 'alexa', 'made', 'called', 'mom', 'air', 'turned', 'able', 'carry', 'perfectly', 'good', 'conversation', 'able', 'hear', 'simply', 'talking', 'phone', 'ear', 'best', 'experience', 'device', 'promising', 'hand', 'free', 'talking', 'car', 'driving', 'honda', 'crv', 'still', 'work', 'refuse', 'replace', 'echo', 'auto', 'wonderful', 'traveling', 'feature', 'test', 'far', 'perfect', 'need', 'thrilled', 'looking', 'year', 'really', 'happy', 'device', 'hopefully', 'keep', 'working', 'need', 'anything', 'change', 'update', 'review', 'looking', 'device', 'give', 'hand', 'free', 'experience', 'get', 'older', 'car', 'not', 'looking', 'get', 'one', 'newer', 'car', 'supply', 'already', 'afraid', 'not', 'using', 'newer', 'car', 'talk', 'experience', 'hope', 'review', 'help', 'really', 'nice', 'piece', 'tech', 'definitely', 'worth', 'money', 'paid']",3
1469,['great'],3
1486,"['real', 'deal', 'bought', 'several', 'ill', 'never', 'run', 'storage', 'space', 'photo', 'photo', 'nut', 'love', 'steal', 'everyones', 'picture', 'wonderful', 'buy', 'afford', 'share', 'photo', 'family', 'member', 'price', 'since', 'sort', 'categorize', 'everything', 'pic', 'chose', 'want', 'look', 'delete', 'dont']",3
1490,"['excellent', 'step', 'step', 'instruction', 'easy', 'installation', 'outstanding', 'value', 'work', 'fantastic', 'essential', 'good', 'wi', 'fi', 'internet', 'connection', 'exactly', 'install', 'hub', 'note', 'hub', 'location', 'garage', 'door', 'opener', 'location', 'sensor', 'door', 'exactly', 'per', 'instruction', 'result', 'no', 'problem', 'great', 'functionality']",3
1509,"['perfect', 'using', 'baby', 'monitor', 'paired', 'fire', 'tablet', 'le', 'camera', 'continuous', 'live', 'stream', 'perfect', 'baby', 'monitor', 'tried', 'ring', 'indoor', 'cam', 'bought', 'wyze', 'cam', 'never', 'connected', 'properly', 'also', 'not', 'continuous', 'live', 'stream', 'min', 'live', 'stream', 'would', 'not', 'work', 'needed', 'wyze', 'cam', 'le', 'half', 'price', 'everything', 'cam']",3
1613,"['worked', 'fine', 'year', 'started', 'not', 'focusing', 'right', 'sometimes', 'would', 'clear', 'time', 'point', 'stopped', 'trying', 'use', 'everything', 'fuzzy', 'well', 'beyond', 'year', 'warranty', 'ended', 'getting', 'hero', 'get', 'higher', 'framerate', 'recording', 'clearer', 'slow', 'motion', 'good', 'camera', 'starting', 'still', 'working', 'properly', 'probably', 'would', 'not', 'gotten', 'hero', 'however', 'slow', 'mo', 'fps', 'ek', 'not', 'nearly', 'smooth', 'slow', 'mo', 'recording', 'fps', 'hero', 'still', 'cost', 'good', 'camera', 'focus', 'issue', 'video', 'quality', 'really', 'good']",3
1669,"['beautiful', 'kit', 'compact', 'broken', 'really', 'impressive', 'set', 'power', 'cord', 'small', 'enough', 'tape', 'easily', 'phone', 'mount', 'pretty', 'tight', 'spring', 'held', 'galaxy', 'note', 'pretty', 'well', 'trial', 'run', 'look', 'forward', 'using', 'every', 'day', 'pleased']",3
1738,"['headphone', 'not', 'great', 'review', 'would', 'lead', 'believe', 'sound', 'quality', 'muffled', 'bass', 'weak', 'would', 'get', 'star', 'review', 'maybe', 'back', 'outdated', 'technology', 'not', 'worth', 'money', 'purchasing', 'realizing', 'not', 'great', 'read', 'review', 'found', 'people', 'gave', 'star', 'clearly', 'not', 'good', 'headphone', 'life', 'better', 'using', 'samsung', 'apple', 'earphone']",3
1830,['ok'],3
1840,"['year', 'since', 'owned', 'pair', 'ear', 'type', 'headphone', 'wireless', 'bloothtooth', 'technology', 'come', 'long', 'way', 'since', 'biggest', 'gripe', 'cord', 'hot', 'ear', 'get', 'problem', 'solved', 'next', 'big', 'test', 'quiet', 'military', 'aircraft', 'control', 'music', 'play', 'flawless', 'sound', 'quality', 'bass', 'treble', 'good', 'loving']",3
1920,"['complaint', 'product', 'true', 'randomly', 'open', 'close', 'easy', 'install', 'afterwards', 'randomly', 'opened', 'closed', 'tried', 'resetting', 'tried', 'investigating', 'opened', 'figure', 'issue', 'nothing', 'ever', 'came', 'light', 'resolved', 'issue', 'today', 'tore', 'thing', 'wait', 'better', 'product', 'come', 'not', 'buy']",3
1923,"['experience', 'word', 'cannot', 'explain', 'awesome', 'tech', 'noise', 'cancellation', 'yes', 'unbelievable', 'thought', 'going', 'deaf', 'noise', 'cancellation', 'cancel', 'noise', 'oh', 'noise', 'want', 'good', 'tech', 'product', 'remember', 'pay', 'get', 'get', 'text', 'worth', 'every', 'single', 'penny', 'spend', 'trust', 'not', 'disappointed']",3
1925,"['easy', 'install', 'cracked', 'le', 'week', 'not', 'worth', 'buy']",3
1955,"['fast', 'shipping', 'great', 'quality', 'sound', 'clear', 'feel', 'comfortable', 'would', 'definitely', 'recommend', 'getting', 'product', 'price', 'satisfied', 'customer', 'thank']",3
2015,"['exactly', 'described', 'well', 'made', 'complaint', 'head', 'thick', 'said', 'pain', 'know', 'plug', 'tv']",3
2047,"['pleasantly', 'surprised', 'noise', 'cancellation', 'feature', 'work', 'great', 'phone', 'call', 'crowded', 'airport', 'listening', 'music', 'air', 'perfect']",3
2099,"['bought', 'one', 'novelty', 'worked', 'would', 'turn', 'second', 'die', 'thought', 'might', 'power', 'adaptor', 'might', 'not', 'requisite', 'wattage', 'ordered', 'couple', 'watt', 'jobbies', 'still', 'no', 'joy', 'returned', 'ordered', 'one', 'better', 'review', 'also', 'costly', 'also', 'included', 'high', 'power', 'wall', 'adaptor', 'stay', 'tuned']",3
2133,"['run', 'ride', 'bike', 'lot', 'wanting', 'easy', 'way', 'get', 'garage', 'without', 'clicker', 'always', 'forgetting', 'closed', 'garage', 'door']",3
2188,"['ai', 'pris', 'un', 'peu', 'de', 'temp', 'monter', 'mais', 'une', 'fois', 'que', 'est', 'fait', 'est', 'fait', 'est', 'tres', 'robuste', 'et', 'lourd', 'gage', 'de', 'bonne', 'qualite', 'vous', 'pouvez', 'regler', 'intensite', 'est', 'genial', 'et', 'vous', 'avez', 'deux', 'style', 'de', 'filtres', 'orange', 'style', 'lumiere', 'du', 'soleil', 'blanche', 'style', 'lumiere', 'studio', 'photo', 'shoot', 'vois', 'allez', 'etre', 'ettone', 'de', 'la', 'taille', 'de', 'anneau', 'cm', 'de', 'diametre', 'est', 'grand', 'et', 'ca', 'en', 'impose', 'mais', 'se', 'place', 'tres', 'bien', 'dans', 'la', 'chambre', 'ou', 'le', 'salon', 'utilise', 'deux', 'soft', 'box', 'de', 'par', 'et', 'autres', 'de', 'la', 'ring', 'light', 'pour', 'une', 'lumiere', 'encore', 'plus', 'diffuse', 'et', 'le', 'resultat', 'est', 'top', 'peau', 'lissee', 'comme', 'si', 'avait', 'mi', 'un', 'filtre', 'photo', 'smartphone', 'et', 'appareil', 'reflex', 'magnifiques', 'de', 'qualite', 'est', 'vraiment', 'important', 'avoir', 'une', 'belle', 'lumiere', 'et', 'je', 'suis', 'super', 'satisfaite', 'et', 'contente', 'avoir', 'paye', 'le', 'prix', 'pour', 'ce', 'produit']",3
2253,"['bought', 'kid', 'christmas', 'time', 'obsessed']",3
2280,"['sleek', 'not', 'expensive', 'really', 'good', 'quality', 'hate', 'earbuds', 'jut', 'much', 'great', 'fit']",3
2303,"['good', 'buy']",3
2342,"['bought', 'one', 'fire', 'stick', 'upgraded', 'st', 'generation', 'love', 'new', 'feature', 'turn', 'tv', 'run', 'volume', 'well', 'month', 'fire', 'stick', 'started', 'rebooting', 'every', 'hour', 'frustrating', 'bought', 'another', 'one', 'thinking', 'first', 'may', 'bad', 'nope', 'soon', 'started', 'using', 'new', 'one', 'started', 'rebooting', 'well', 'tried', 'contacting', 'amazon', 'line', 'help', 'figure', 'let', 'say', 'trying', 'communicate', 'like', 'talking', 'freaking', 'wall', 'think', 'communication', 'took', 'hour', 'talked', 'different', 'people', 'useless', 'omg', 'pissed', 'still', 'no', 'resolution']",3
2393,"['ottima', 'lampada', 'molto', 'potente', 'con', 'il', 'regolatore', 'dell', 'intensita', 'si', 'puo', 'decidere', 'la', 'potenza', 'facile', 'da', 'montare', 'molto', 'pratica', 'da', 'trasportare', 'grazie', 'alla', 'borsa', 'dotazione', 'estremamente', 'soddisfatto']",3
2427,"['great', 'little', 'antenna', 'work', 'wonderfully']",3
2459,"['un', 'peu', 'cher', 'pour', 'un', 'bridge', 'mais', 'fonctionne', 'bien', 'et', 'facile', 'installation', 'satisfait']",3
2476,"['mi', 'primer', 'smash', 'e', 'una', 'maravilla', 'super', 'entretenido', 'compra', 'obligada']",3
2572,"['feeling', 'like', 'using', 'tech']",3
2591,"['beautiful', 'cool', 'looking', 'edgy', 'perfect', 'except', 'stay', 'ear', 'tbh', 'probably', 'company', 'ear', 'bud', 'stay', 'ear', 'actually', 'weird', 'ear', 'guess', 'lol']",3
2609,"['best', 'buy', 'ever', 'everything', 'good', 'nothing', 'broken', 'jet']",3
2629,"['purchased', 'day', 'bought', 'p', 'work', 'great', 'problem', 'thus', 'far', 'using', 'month', 'kinda', 'suck', 'pay', 'play', 'online', 'oh', 'well', 'work']",3
2645,"['took', 'like', 'minute', 'set', 'great']",3
2740,"['set', 'minute', 'work', 'great']",3
2756,"['thing', 'awesome', 'plug', 'hdmi', 'slot', 'another', 'cord', 'wall', 'come', 'everything', 'need', 'cord', 'even', 'battery', 'remote', 'cute', 'little', 'remote', 'easy', 'use', 'roku', 'channel']",3
2762,"['great', 'product', 'price', 'several', 'different', 'led', 'mode', 'keyboard', 'experiment', 'find', 'one', 'like']",3
2773,"['great', 'east', 'use', 'app', 'integrates', 'perfectly', 'alexa']",3
2844,"['bought', 'speaker', 'son', 'law', 'christmas', 'love', 'great', 'clear', 'sound', 'small', 'speaker', 'love', 'color', 'bose', 'make', 'best', 'speaker']",3
2851,"['family', 'enjoyed', 'upgrading', 'echo', 'show', 'home', 'content', 'frozen', 'screen', 'many', 'time', 'instead', 'continually', 'changing', 'next', 'screen']",3
2880,"['wish', 'wouldve', 'returned', 'waste', 'money', 'getting', 'name']",3
2900,"['didnt', 'work', 'genie', 'garage', 'door', 'opener', 'even', 'though', 'chamberlin', 'showing', 'compatible', 'multiple', 'attempt', 'programmed', 'successfully', 'not', 'functioning', 'neither', 'open', 'close', 'thru', 'app', 'chamberlin', 'tech', 'support', 'mentioned', 'myq', 'not', 'compatible', 'latest', 'genie', 'model', 'tech', 'support', 'team', 'enough', 'knowledge', 'trouble', 'shoot', 'explaining', 'faq', 'really', 'frustrated']",3
2949,"['thing', 'might', 'worst', 'echo', 'device', 'bought', 'echo', 'connect', 'regularly', 'loses', 'connection', 'alexa', 'app', 'started', 'issue', 'connecting', 'phone', 'even', 'work', 'usefulness', 'limited', 'truly', 'hand', 'free', 'navigation', 'not', 'possible', 'outside', 'capable', 'music', 'playe', 'know', 'exists']",3
2955,"['already', 'monitor', 'exterior', 'area', 'different', 'area', 'first', 'bought', 'detect', 'garage', 'door', 'open', 'decided', 'automate', 'oje', 'day', 'wife', 'found', 'garage', 'door', 'opened', 'knew', 'none', 'u', 'open', 'event', 'trigger', 'need', 'way', 'know', 'garage', 'open', 'not', 'camera', 'solved', 'problem', 'found', 'weird', 'condition', 'relay', 'garage', 'door', 'opened', 'might', 'trigger', 'know', 'take', 'action', 'remotely', 'either', 'close', 'open', 'check', 'status', 'camera']",3
3001,['ok'],3
3034,"['well', 'paper', 'worked', 'well', 'hp', 'inkjet']",3
3056,"['bought', 'one', 'parent', 'borrowed', 'plenty', 'loud', 'dad', 'hearing', 'aid', 'buy', 'another', 'u', 'louder', 'diesel', 'truck', 'podcasts']",3
3071,"['week', 'happy', 'never', 'soundbar', 'keep', 'mind', 'impressed', 'sound', 'getting', 'make', 'movie', 'video', 'game', 'etc', 'much', 'better', 'little', 'trouble', 'switching', 'bluetooth', 'tv', 'audio', 'reason', 'always', 'get', 'working', 'may', 'user']",3
3084,"['camera', 'attachment', 'fit', 'loosely']",3
3088,"['tricky', 'get', 'connect', 'masterful', 'stuff', 'irritating', 'not', 'get', 'appropriate', 'message', 'asking', 'something', 'start', 'car', 'long', 'delay', 'connected', 'everything', 'error', 'message', 'stupid', 'saying', 'open', 'alexa', 'app', 'nothing', 'illuminate', 'center', 'led', 'ready', 'receive', 'command']",3
3100,"['use', 'bathroom', 'getting', 'ready', 'day', 'impressed', 'sound', 'quality', 'compared', 'size', 'small', 'enough', 'fit', 'anywhere', 'including', 'coat', 'pocket', 'simple', 'use', 'not', 'lot', 'complex', 'button', 'use', 'make', 'call', 'well', 'get', 'deep', 'bass', 'noticeable', 'bass', 'like', 'said', 'seemed', 'focussed', 'sound', 'quality', 'developed', 'bit', 'shorter', 'iphone', 'length', 'give', 'idea', 'size', 'also', 'water', 'resistant', 'splash', 'dunk', 'hope', 'help']",3
3211,"['provide', 'enough', 'volume', 'max', 'volume', 'low', 'use', 'airplane']",3
3251,"['oontz', 'angle', 'car', 'month', 'bought', 'store', 'broke', 'attributed', 'leaving', 'car', 'outdoor', 'temperature', 'regularly', 'reach', 'bought', 'one', 'amazon', 'replacement', 'keep', 'indoors', 'always', 'today', 'two', 'day', 'return', 'window', 'expired', 'bluetooth', 'kept', 'disconnecting', 'hour', 'later', 'died', 'completely', 'plugged', 'charge', 'tried', 'outlet', 'two', 'different', 'cable', 'cable', 'work', 'micro', 'usb', 'device', 'know', 'inexpensive', 'speaker', 'would', 'hope', 'could', 'last', 'month', 'hour', 'use', 'day', 'not', 'buying', 'anymore', 'oontz', 'product']",3
3307,"['paid', 'complain', 'mmm']",3
3308,"['thought', 'good', 'bargain', 'get', 'pair', 'earbuds', 'fraction', 'price', 'big', 'name', 'branch', 'one', 'two', 'stopped', 'working', 'together', 'lesser', 'month', 'one', 'side', 'work', 'either', 'left', 'right', 'know', 'working', 'together', 'pretty', 'much', 'use', 'max', 'hour', 'day', 'last', 'almost', 'hour', 'maximum', 'one', 'charge', 'not', 'use', 'daily', 'cu', 'not', 'like', 'using', 'earbuds', 'sound', 'quality', 'ok', 'since', 'not', 'picky', 'dollar', 'used', 'experience', 'feel', 'like', 'cheap', 'amazon', 'choice', 'know', 'feel', 'anyone', 'tolerate', 'listening', 'one', 'side', 'hour', 'surely', 'cannot']",3
3348,"['great', 'home', 'work', 'little', 'play', 'lot', 'come', 'window', 'make', 'microsoftbook', 'like', 'chromebook', 'm', 'one', 'reverse', 'no', 'going', 'back', 'would', 'want', 'great', 'backlit', 'keyboard', 'no', 'fancy', 'stuff', 'upgradeable', 'ram', 'hard', 'disk']",3
3352,"['initial', 'impression', 'update', 'using', 'device', 'week', 'yes', 'easy', 'hook', 'tv']",3
3399,"['stay', 'ear', 'good', 'original', 'apple', 'airpods', 'not', 'worth', 'extra', 'money', 'owned', 'week', 'every', 'day', 'would', 'fall', 'ear', 'slide', 'ride', 'workout', 'workout', 'hour', 'day', 'mostly', 'run', 'save', 'heartache']",3
3433,"['received', 'used', 'one', 'work', 'many', 'scratch', 'knob', 'tighten', 'well']",3
3441,"['little', 'guy', 'awesome', 'fiance', 'without', 'traveling', 'use', 'connect', 'two', 'set', 'bluetooth', 'headphone', 'device', 'watch', 'movie', 'tv', 'together', 'great', 'video', 'tutorial', 'online', 'connect', 'two', 'device', 'interface', 'actually', 'select', 'transmitter', 'pairing', 'helped', 'u', 'lot', 'little', 'tricky', 'connect', 'first', 'time', 'almost', 'automatic', 'though', 'also', 'used', 'get', 'bluetooth', 'audio', 'car', 'transmit', 'record', 'player', 'bluetooth', 'speaker', 'us', 'endless', 'little', 'box', 'become', 'invaluable', 'u']",3
3445,"['stopped', 'working', 'exactly', 'one', 'month', 'amazon', 'not', 'refund', 'money', 'day', 'day', 'ugh']",3
3458,"['no', 'pun', 'intended', 'work', 'light', 'duty', 'around', 'house', 'would', 'not', 'put', 'expensive', 'heavy', 'camera', 'leg', 'work', 'well', 'head', 'problem', 'much', 'plastic', 'hard', 'get', 'light', 'positioned', 'stable', 'without', 'drooping', 'would', 'not', 'recommend', 'mounting', 'camera', 'lack', 'stability']",3
3488,"['beast', 'little', 'money']",3
3515,"['cool', 'started', 'work', 'factory', 'listen', 'music', 'headphone', 'cord', 'constantly', 'getting', 'hooked', 'knob', 'girl', 'apple', 'airpods', 'entranced', 'never', 'seen', 'wireless', 'headphone', 'real', 'life', 'realize', 'cool', 'afford', 'apple', 'product', 'brand', 'new', 'wanted', 'brand', 'new', 'stepdad', 'sent', 'screenshot', 'amazon', 'review', 'confirmed', 'purchase', 'not', 'small', 'thought', 'would', 'like', 'apple', 'airpods', 'care', 'amazing', 'investment', 'easy', 'set', 'problem', 'putting', 'smallest', 'size', 'rubber', 'part', 'onto', 'headphone', 'lol', 'rest', 'set', 'even', 'look', 'instruction', 'technologically', 'savvy', 'get', 'make', 'sure', 'bluetooth', 'option', 'turned', 'phone', 'headphone', 'pop', 'confirm', 'right', 'one', 'not', 'left', 'voila', 'ready', 'go']",3
3516,"['purchase', 'gifted', 'well', 'received', 'recipient', 'usage', 'smooth', 'silk']",3
3523,"['great', 'headphone', 'price', 'daughter', 'love', 'really', 'life', 'saver', 'school']",3
3538,"['good', 'reliable', 'lb', 'printer', 'paper', 'not', 'high', 'quality', 'hp', 'paper', 'normally', 'buy', 'convenience', 'heavy', 'item', 'like', 'delivered', 'outweighed', 'difference', 'paper']",3
3562,"['work', 'great']",3
3594,"['hey', 'super', 'smash', 'bro', 'say', 'awesome', 'game', 'work', 'great']",3
3604,"['articulo', 'muy', 'buen', 'precio', 'todo', 'en', 'perfecto', 'estado']",3
3607,"['hi', 'folk', 'got', 'speaker', 'yesterday', 'impressed', 'craftsmanship', 'little', 'guy', 'really', 'not', 'deliver', 'especially', 'bass', 'generally', 'please', 'based', 'price', 'year', 'ago', 'bought', 'tdk', 'family', 'far', 'among', 'best', 'steal', 'amazon', 'lost', 'power', 'cord', 'reordered', 'check', 'price']",3
3691,"['one', 'first', 'purchase', 'made', 'switch', 'owning', 'day', 'even', 'went', 'inside', 'store', 'start', 'end', 'happy', 'pay', 'worker', 'enough', 'government', 'support', 'buy', 'sold', 'zon', 'halfway', 'decent', 'retailer', 'call', 'must', 'anyone', 'serious', 'switch', 'living', 'room', 'console', 'traditional', 'gaming', 'fantastic', 'controller', 'well', 'worth', 'price', 'fact', 'really', 'couple', 'downside', 'one', 'issue']",3
